Heit(km)	Oden(m-3)	O2den(m-3)	Nden(m-3)	N2den(m-3)	Air(m-3)	T(eV)	Q_O(s-1)	Q_O2(s-1)	Q_N(s-1)	Q_N2(s-1)
890.0	45600000000.0	26090.0	773500000.0	10820000.0	5.336e-15	0.085861875	338559554437364.0	193706552.08927253	5742890687660.111	80333648662.54997
900.0	39410000000.0	19490.0	680900000.0	8385999.999999999	5.026e-15	0.085861875	292400271532529.75	144604955.39632085	5051899134394.811	62219453871.39797
910.0	34070000000.0	14570.0	599500000.0	6501000.0	4.743e-15	0.085861875	252606770206967.34	108027022.06972452	4444900461962.927	48200663725.13926
920.0	29470000000.0	10900.0	528100000.0	5044000.0	4.486e-15	0.085861875	218350863550316.03	80760923.40340836	3912829692599.996	37372302536.402916
930.0	25510000000.0	8165.0	465300000.0	3916000.0	4.251e-15	0.085861875	188880694394817.62	60455149.73475837	3445166095723.5845	28994778488.832058
940.0	22080000000.0	6119.0	410100000.0	3043000.0	4.0349999999999995e-15	0.085861875	163372487909517.84	45275192.64122915	3034377594732.485	22515510901.660454
950.0	19120000000.0	4589.0	361600000.0	2365000.0	3.837e-15	0.085861875	141374437367522.72	33931343.78031181	2673692288289.5513	17486953157.645985
960.0	16570000000.0	3445.0	319000000.0	1840000.0	3.654e-15	0.085861875	122435980420384.12	25455157.063863806	2357095821007.9985	13595787807.695038
970.0	14360000000.0	2587.0	281400000.0	1433000.0	3.4840000000000002e-15	0.085861875	106033952919157.56	19102356.28146662	2077851974335.0237	10581243351.890863
980.0	12450000000.0	1945.0	248400000.0	1116000.0	3.3270000000000002e-15	0.085861875	91867992027602.7	14352067.830818253	1832932467442.29	8234913984.161014
990.0	10800000000.0	1463.0	219300000.0	870100.0	3.18e-15	0.085861875	79638558500264.19	10788075.100545045	1617105173991.4753	6416065717.69258
1000.0	9369000000.0	1102.0	193700000.0	678800.0	3.043e-15	0.085861875	69039563542103.34	8120567.725840312	1427362947817.848	5002033913.158261
